//X Y Z Point_Source_ID Scan_Angle_Rank Flightline_Edge Number_of_Returns Return_Number Time Intensity Classification
236465.38000488 548267.20999908 32.61999893 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.613099 44.000000 1.000000
236465.58001709 548266.91999817 32.66999817 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.613102 71.000000 1.000000
236465.78002930 548266.63999939 32.74000168 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.613105 57.000000 1.000000
236465.96997070 548266.37000275 32.79999924 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.613107 42.000000 1.000000
236466.16998291 548266.08999634 32.88999939 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.613110 41.000000 1.000000
236466.35998535 548265.81999969 32.95999908 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.613112 25.000000 1.000000
236466.53997803 548265.56999969 33.02000046 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.613115 183.000000 1.000000
236466.73999023 548265.30000305 33.13000107 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.613117 14.000000 1.000000
236466.94000244 548265.01999664 33.22000122 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.613120 20.000000 1.000000
236467.15002441 548264.72000122 33.31000137 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.613123 38.000000 1.000000
236467.33001709 548264.47000122 33.41999817 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.613125 46.000000 1.000000
236467.53997803 548264.18000031 33.52999878 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.613128 53.000000 1.000000
236467.71997070 548263.91999817 33.63999939 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.613130 67.000000 1.000000
236467.91998291 548263.65000153 33.79000092 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.613133 37.000000 1.000000
236468.09997559 548263.40000153 33.90000153 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.613135 43.000000 1.000000
236468.30999756 548263.11000061 34.06000137 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.613138 141.000000 1.000000
236468.51000977 548262.83000183 34.20000076 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.613141 50.000000 1.000000
236468.71002197 548262.56000137 34.36000061 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.613143 54.000000 1.000000
236468.90997314 548262.29000092 34.52999878 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.613146 89.000000 1.000000
236469.10998535 548262.02000046 34.65000153 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.613148 31.000000 1.000000
